timestamp,shelf_id,detected_sku,confidence,software_version
2026-07-09T09:00:31,D-08-02,SKU-1031,0.769,v1.1-candidate
2026-07-09T09:00:32,A-09-03,SKU-1032,0.561,v1.1-candidate
2026-07-09T09:00:33,B-09-04,SKU-1033,0.923,v1.1-candidate
2026-07-09T09:00:34,D-09-01,SKU-1035,0.914,v1.1-candidate
2026-07-09T09:00:35,B-10-03,SKU-1037,0.96,v1.1-candidate
2026-07-09T09:00:36,C-10-04,SKU-1038,0.904,v1.1-candidate
2026-07-09T09:00:37,D-10-05,SKU-1039,0.913,v1.1-candidate
2026-07-09T09:00:38,A-11-01,SKU-1040,0.934,v1.1-candidate
2026-07-09T09:00:39,B-11-02,SKU-1041,0.89,v1.1-candidate
2026-07-09T09:00:40,C-11-03,SKU-1042,0.933,v1.1-candidate
2026-07-09T09:00:41,D-11-04,SKU-1043,0.981,v1.1-candidate
2026-07-09T09:00:42,A-12-05,SKU-1044,0.969,v1.1-candidate
2026-07-09T09:00:43,A-12-05,SKU-1044,0.969,v1.1-candidate
2026-07-09T09:00:44,B-12-01,SKU-1045,0.468,v1.1-candidate
2026-07-09T09:00:45,C-12-02,SKU-1046,0.973,v1.1-candidate
2026-07-09T09:00:46,D-12-03,SKU-1047,0.884,v1.1-candidate
2026-07-09T09:00:47,A-13-04,SKU-1048,0.9,v1.1-candidate
2026-07-09T09:00:48,B-13-05,SKU-1049,0.945,v1.1-candidate
2026-07-09T09:00:49,C-13-01,SKU-1050,0.989,v1.1-candidate
2026-07-09T09:00:50,D-13-02,SKU-1051,0.912,v1.1-candidate
2026-07-09T09:00:51,A-14-03,SKU-1052,0.895,v1.1-candidate
2026-07-09T09:00:52,B-14-04,SKU-1053,0.904,v1.1-candidate
2026-07-09T09:00:53,B-14-04,SKU-1053,0.904,v1.1-candidate
2026-07-09T09:00:54,D-14-01,SKU-1055,0.884,v1.1-candidate
2026-07-09T09:00:55,A-15-02,SKU-1056,0.932,v1.1-candidate
2026-07-09T09:00:56,B-15-03,SKU-1057,0.893,v1.1-candidate
2026-07-09T09:00:57,C-15-04,SKU-1058,0.896,v1.1-candidate
2026-07-09T09:00:58,C-15-04,SKU-1058,0.896,v1.1-candidate
2026-07-09T09:00:59,D-15-05,SKU-1059,0.891,v1.1-candidate
2026-07-09T09:01:00,A-16-01,SKU-1060,0.966,v1.1-candidate
2026-07-09T09:01:01,B-16-02,SKU-1061,0.923,v1.1-candidate
2026-07-09T09:01:02,C-16-03,SKU-1062,0.942,v1.1-candidate
2026-07-09T09:01:03,D-16-04,SKU-1063,0.94,v1.1-candidate
2026-07-09T09:01:04,A-17-05,SKU-1064,0.923,v1.1-candidate
2026-07-09T09:01:05,B-17-01,SKU-1065,0.654,v1.1-candidate
2026-07-09T09:01:06,A-18-04,SKU-1068,0.941,v1.1-candidate
2026-07-09T09:01:07,C-18-01,SKU-1070,0.984,v1.1-candidate
2026-07-09T09:01:08,D-18-02,SKU-1071,0.951,v1.1-candidate
2026-07-09T09:01:09,A-19-03,SKU-1072,0.913,v1.1-candidate
2026-07-09T09:01:10,B-19-04,SKU-1073,0.955,v1.1-candidate
2026-07-09T09:01:11,C-19-05,SKU-1074,0.97,v1.1-candidate
2026-07-09T09:01:12,D-19-01,SKU-1075,0.908,v1.1-candidate
2026-07-09T09:01:13,A-20-02,SKU-1076,0.915,v1.1-candidate
2026-07-09T09:01:14,B-20-03,SKU-WRONG-14,0.643,v1.1-candidate
2026-07-09T09:01:15,C-20-04,SKU-1078,0.474,v1.1-candidate
2026-07-09T09:01:16,D-20-05,SKU-1079,0.917,v1.1-candidate
2026-07-09T09:01:17,A-21-01,SKU-WRONG-81,0.9,v1.1-candidate
2026-07-09T09:01:18,D-21-04,SKU-1083,0.897,v1.1-candidate
2026-07-09T09:01:19,A-22-05,SKU-1084,0.973,v1.1-candidate
2026-07-09T09:01:20,B-22-01,SKU-1085,0.952,v1.1-candidate
2026-07-09T09:01:21,B-22-01,SKU-1085,0.952,v1.1-candidate
2026-07-09T09:01:22,C-22-02,SKU-1086,0.959,v1.1-candidate
2026-07-09T09:01:23,D-22-03,SKU-1087,0.904,v1.1-candidate
2026-07-09T09:01:24,A-23-04,SKU-1088,0.938,v1.1-candidate
2026-07-09T09:01:25,B-23-05,SKU-1089,0.912,v1.1-candidate
2026-07-09T09:01:26,C-23-01,SKU-1090,0.959,v1.1-candidate
2026-07-09T09:01:27,C-23-01,SKU-1090,0.959,v1.1-candidate
2026-07-09T09:01:28,D-23-02,SKU-1091,0.492,v1.1-candidate
2026-07-09T09:01:29,A-24-03,SKU-1092,0.946,v1.1-candidate
2026-07-09T09:01:30,B-24-04,SKU-1093,0.982,v1.1-candidate
2026-07-09T09:01:31,C-24-05,SKU-1094,0.942,v1.1-candidate
2026-07-09T09:01:32,A-25-02,SKU-1096,0.949,v1.1-candidate
2026-07-09T09:01:33,D-25-05,SKU-1099,0.888,v1.1-candidate
