timestamp,shelf_id,detected_sku,confidence,software_version
2026-07-09T09:01:10,A-19-03,SKU-1072,0.978,v1.0-baseline
2026-07-09T09:01:11,B-19-04,SKU-1073,0.914,v1.0-baseline
2026-07-09T09:01:12,C-19-05,SKU-1074,0.957,v1.0-baseline
2026-07-09T09:01:13,D-19-01,SKU-1075,0.891,v1.0-baseline
2026-07-09T09:01:14,A-20-02,SKU-1076,0.889,v1.0-baseline
2026-07-09T09:01:15,B-20-03,SKU-1077,0.916,v1.0-baseline
2026-07-09T09:01:16,C-20-04,SKU-1078,0.915,v1.0-baseline
2026-07-09T09:01:17,D-20-05,SKU-1079,0.927,v1.0-baseline
2026-07-09T09:01:18,A-21-01,SKU-1080,0.985,v1.0-baseline
2026-07-09T09:01:19,B-21-02,SKU-1081,0.938,v1.0-baseline
2026-07-09T09:01:20,C-21-03,SKU-1082,0.946,v1.0-baseline
2026-07-09T09:01:21,D-21-04,SKU-1083,0.969,v1.0-baseline
2026-07-09T09:01:22,A-22-05,SKU-1084,0.949,v1.0-baseline
2026-07-09T09:01:23,B-22-01,SKU-1085,0.89,v1.0-baseline
2026-07-09T09:01:24,C-22-02,SKU-1086,0.966,v1.0-baseline
2026-07-09T09:01:25,D-22-03,SKU-1087,0.982,v1.0-baseline
2026-07-09T09:01:26,A-23-04,SKU-1088,0.887,v1.0-baseline
2026-07-09T09:01:27,B-23-05,SKU-1089,0.956,v1.0-baseline
2026-07-09T09:01:28,C-23-01,SKU-1090,0.933,v1.0-baseline
2026-07-09T09:01:29,D-23-02,SKU-1091,0.902,v1.0-baseline
2026-07-09T09:01:30,A-24-03,SKU-1092,0.915,v1.0-baseline
2026-07-09T09:01:31,B-24-04,SKU-1093,0.892,v1.0-baseline
2026-07-09T09:01:32,C-24-05,SKU-1094,0.926,v1.0-baseline
2026-07-09T09:01:33,D-24-01,SKU-1095,0.886,v1.0-baseline
2026-07-09T09:01:34,A-25-02,SKU-1096,0.952,v1.0-baseline
2026-07-09T09:01:35,B-25-03,SKU-1097,0.94,v1.0-baseline
2026-07-09T09:01:36,C-25-04,SKU-1098,0.98,v1.0-baseline
2026-07-09T09:01:37,D-25-05,SKU-1099,0.955,v1.0-baseline
